preco,endereco,bairro,zona_urbana,qt_casas_bairro,tipo_de_imovel,numero_de_quartos,numero_de_banheiros,numero_de_vagas,area_do_terreno,tamanho_da_construcao,distancia_centro_urbano,data_de_venda
,68 Studley St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,1.0,126.0,,2.5,2016-09-03
1480000.0,85 Turner St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,1.0,202.0,,2.5,2016-12-03
1035000.0,25 Bloomburg St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,0.0,156.0,79.0,2.5,2016-02-04
,18/659 Victoria St,Abbotsford,NorteMetrop,4019.0,apartamento,3,2.0,1.0,0.0,,2.5,2016-02-04
1465000.0,5 Charles St,Abbotsford,NorteMetrop,4019.0,casa,3,2.0,0.0,134.0,150.0,2.5,2017-03-04
850000.0,40 Federation La,Abbotsford,NorteMetrop,4019.0,casa,3,2.0,1.0,94.0,,2.5,2017-03-04
1600000.0,55a Park St,Abbotsford,NorteMetrop,4019.0,casa,4,1.0,2.0,120.0,142.0,2.5,2016-06-04
,16 Maugie St,Abbotsford,NorteMetrop,4019.0,casa,4,2.0,2.0,400.0,220.0,2.5,2016-08-06
,53 Turner St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,2.0,201.0,,2.5,2016-08-06
,99 Turner St,Abbotsford,NorteMetrop,4019.0,casa,2,2.0,1.0,202.0,,2.5,2016-08-06
941000.0,129 Charles St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,0.0,181.0,,2.5,2016-05-07
1876000.0,124 Yarra St,Abbotsford,NorteMetrop,4019.0,casa,3,2.0,0.0,245.0,210.0,2.5,2016-05-07
,121/56 Nicholson St,Abbotsford,NorteMetrop,4019.0,apartamento,2,2.0,1.0,4292.0,82.0,2.5,2016-11-07
,17 Raphael St,Abbotsford,NorteMetrop,4019.0,casa,4,2.0,0.0,230.0,147.0,2.5,2016-11-07
1636000.0,98 Charles St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,2.0,256.0,107.0,2.5,2016-10-08
1000000.0,217 Langridge St,Abbotsford,NorteMetrop,4019.0,casa,3,,,,,2.5,2016-10-08
745000.0,18a Mollison St,Abbotsford,NorteMetrop,4019.0,t,2,,,,,2.5,2016-10-08
300000.0,6/241 Nicholson St,Abbotsford,NorteMetrop,4019.0,apartamento,1,1.0,1.0,0.0,,2.5,2016-10-08
1097000.0,10 Valiant St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,2.0,220.0,75.0,2.5,2016-10-08
542000.0,403/609 Victoria St,Abbotsford,NorteMetrop,4019.0,apartamento,2,,,,,2.5,2016-10-08
,2 Rich St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,1.0,176.0,80.0,2.5,2016-12-10
760000.0,25/84 Trenerry Cr,Abbotsford,NorteMetrop,4019.0,apartamento,2,,,,,2.5,2016-12-10
481000.0,106/119 Turner St,Abbotsford,NorteMetrop,4019.0,apartamento,1,,,,,2.5,2016-12-10
700000.0,411/8 Grosvenor St,Abbotsford,NorteMetrop,4019.0,apartamento,2,2.0,1.0,0.0,,2.5,2016-11-12
1350000.0,40 Nicholson St,Abbotsford,NorteMetrop,4019.0,casa,3,2.0,2.0,214.0,190.0,2.5,2016-11-12
750000.0,123/56 Nicholson St,Abbotsford,NorteMetrop,4019.0,apartamento,2,2.0,1.0,0.0,94.0,2.5,2016-11-12
1985000.0,22 Park St,Abbotsford,NorteMetrop,4019.0,casa,4,,,,,2.5,2016-11-12
500000.0,13/84 Trenerry Cr,Abbotsford,NorteMetrop,4019.0,apartamento,1,,,,,2.5,2016-11-12
1172500.0,45 William St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,1.0,195.0,,2.5,2016-08-13
441000.0,7/20 Abbotsford St,Abbotsford,NorteMetrop,4019.0,apartamento,1,1.0,1.0,0.0,,2.5,2016-05-14
1310000.0,16 William St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,2.0,238.0,97.0,2.5,2016-10-15
,16/11 Nicholson St,Abbotsford,NorteMetrop,4019.0,apartamento,3,2.0,2.0,0.0,129.0,2.5,2016-04-16
1200000.0,42 Henry St,Abbotsford,NorteMetrop,4019.0,casa,3,2.0,1.0,113.0,110.0,2.5,2016-07-16
847000.0,250 Langridge St,Abbotsford,NorteMetrop,4019.0,t,2,,,,,2.5,2016-07-16
,16b Mollison St,Abbotsford,NorteMetrop,4019.0,casa,2,,,,,2.5,2016-07-16
1176500.0,78 Yarra St,Abbotsford,NorteMetrop,4019.0,casa,3,1.0,1.0,138.0,105.0,2.5,2016-07-16
955000.0,196 Nicholson St,Abbotsford,NorteMetrop,4019.0,casa,3,1.0,0.0,183.0,,2.5,2016-09-17
890000.0,42 Valiant St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,1.0,150.0,73.0,2.5,2016-09-17
1330000.0,3/72 Charles St,Abbotsford,NorteMetrop,4019.0,casa,4,2.0,2.0,780.0,135.0,2.5,2017-03-18
,1/1 Mayfield St,Abbotsford,NorteMetrop,4019.0,casa,3,2.0,1.0,119.0,167.0,2.5,2017-03-18
900000.0,13/11 Nicholson St,Abbotsford,NorteMetrop,4019.0,t,3,2.0,2.0,0.0,,2.5,2017-03-18
1090000.0,138/56 Nicholson St,Abbotsford,NorteMetrop,4019.0,apartamento,3,2.0,2.0,4290.0,27.0,2.5,2017-03-18
500000.0,6/219 Nicholson St,Abbotsford,NorteMetrop,4019.0,apartamento,2,1.0,1.0,0.0,60.0,2.5,2016-06-18
1100000.0,52a William St,Abbotsford,NorteMetrop,4019.0,casa,2,2.0,1.0,124.0,135.0,2.5,2016-06-18
1315000.0,49 Park St,Abbotsford,NorteMetrop,4019.0,casa,2,1.0,0.0,147.0,85.0,2.5,2016-11-19
480000.0,65/80 Trenerry Cr,Abbotsford,NorteMetrop,4019.0,apartamento,1,,,,,2.5,2016-11-19
423500.0,119/52 Nicholson St,Abbotsford,NorteMetrop,4019.0,apartamento,1,,,,,2.5,2016-05-22
,8b Park St,Abbotsford,NorteMetrop,4019.0,casa,4,,,,,2.5,2016-05-22
426000.0,5/20 Abbotsford St,Abbotsford,NorteMetrop,4019.0,apartamento,1,1.0,1.0,0.0,,2.5,2016-08-22
1447500.0,48 Abbotsford St,Abbotsford,NorteMetrop,4019.0,casa,3,3.0,1.0,166.0,174.0,2.5,2016-08-22
457000.0,116/56 Nicholson St,Abbotsford,NorteMetrop,4019.0,apartamento,1,1.0,1.0,0.0,50.0,2.5,2016-08-22
1135000.0,159 Park St,Abbotsford,NorteMetrop,4019.0,casa,2,2.0,2.0,98.0,128.0,2.5,2016-08-22
700000.0,49/84 Trenerry Cr,Abbotsford,NorteMetrop,4019.0,casa,2,,,,,2.5,2016-04-23
1542000.0,31 Turner St,Abbotsford,NorteMetrop,4019.0,casa,4,3.0,1.0,0.0,,2.5,2016-09-24
962000.0,17/1 Abbot St,Abbotsford,NorteMetrop,4019.0,t,3,,,,,2.5,2017-02-25
1290000.0,166 Gipps St,Abbotsford,NorteMetrop,4019.0,casa,3,2.0,2.0,147.0,18.0,2.5,2017-02-25
